fraud,policy_id,incident_type_theft,policy_state_ca,policy_deductable,num_witnesses,policy_state_or,incident_month,customer_gender_female,num_insurers_past_5_years,customer_gender_male,total_claim_amount,authorities_contacted_police,incident_day,collision_type_side,customer_age,customer_education,driver_relationship_child,driver_relationship_spouse,injury_claim,incident_dow,collision_type_na,incident_severity,driver_relationship_self,num_claims_past_year,months_as_customer,auto_year,num_vehicles_involved,policy_state_nv,authorities_contacted_ambulance,num_injuries,policy_liability,police_report_available,driver_relationship_na,incident_type_breakin,authorities_contacted_none,authorities_contacted_fire,driver_relationship_other,policy_state_id,incident_hour,vehicle_claim,incident_type_collision,policy_annual_premium,policy_state_az,policy_state_wa,collision_type_rear,collision_type_front
0,1675,0,0,750,0,0,2,0,1,0,12000,1,14,0,61,4,0,0,0,3,1,0,0,0,135,2020,1,0,0,0,1,0,1,1,0,0,0,0,20,12000,0,3000,1,0,0,0
0,9,0,0,750,0,0,9,0,1,1,18500,0,21,1,55,4,0,1,0,5,0,0,0,0,201,2019,2,1,0,0,1,0,0,0,1,0,0,0,15,18500,1,3000,0,0,0,0
0,1687,0,1,750,0,0,7,1,1,0,17500,1,18,1,42,1,1,0,0,3,0,1,0,0,80,2014,2,0,0,0,1,0,0,0,0,0,0,0,16,17500,1,3000,0,0,0,0
0,1687,0,1,750,0,0,7,0,1,1,17500,1,18,1,54,1,1,0,0,3,0,1,0,0,72,2017,2,0,0,0,1,0,0,0,0,0,0,0,16,17500,1,3000,0,0,0,0
0,1692,0,0,750,2,0,6,1,1,0,26000,1,5,0,63,3,0,0,4500,2,0,2,1,0,80,2020,5,0,0,4,2,1,0,0,0,0,0,0,8,21500,1,2800,1,0,0,1
0,24,0,0,750,3,0,3,0,1,1,59000,1,6,0,32,4,0,0,25000,2,0,2,1,0,34,2018,3,1,0,1,1,1,0,0,0,0,0,0,8,34000,1,2750,0,0,0,1
0,35,0,1,750,3,0,8,0,1,1,44000,1,17,0,42,1,0,0,9000,5,0,2,1,0,55,2015,3,0,0,1,2,1,0,0,0,0,0,0,16,35000,1,3000,0,0,0,1
0,1709,0,0,750,1,0,12,1,1,0,12500,0,9,0,57,4,1,0,0,0,0,0,0,0,93,2019,2,0,0,0,3,0,0,0,1,0,0,0,7,12500,1,3000,0,1,1,0
0,3344,0,1,750,0,0,3,1,1,0,33500,1,7,0,49,0,0,0,2000,3,0,2,1,0,90,2014,3,0,0,1,0,1,0,0,0,0,0,0,20,31500,1,3000,0,0,1,0
0,3344,0,0,750,0,0,3,0,1,1,33500,1,7,0,59,0,0,0,2000,3,0,2,1,0,214,2015,3,0,0,1,0,1,0,0,0,0,0,0,20,31500,1,3000,1,0,1,0
0,1725,0,1,750,1,0,9,1,1,0,37000,0,7,0,37,2,0,0,0,5,0,2,1,0,117,2015,2,0,0,0,0,0,0,0,0,1,0,0,1,37000,1,3000,0,0,0,1
0,52,0,1,750,0,0,10,0,3,0,12000,1,10,0,20,3,0,0,0,3,1,1,0,0,2,2017,1,0,0,0,0,0,1,1,0,0,0,0,8,12000,0,3000,0,0,0,0
0,3347,0,1,750,1,0,6,0,1,1,26500,1,28,0,69,4,1,0,8000,4,0,1,0,0,91,2017,2,0,0,2,0,1,0,0,0,0,0,0,17,18500,1,3000,0,0,0,1
0,3351,0,0,750,1,1,4,0,2,1,5000,1,4,0,39,2,0,1,0,3,0,0,0,1,34,2018,3,0,0,0,1,1,0,0,0,0,0,0,16,5000,1,3000,0,0,0,1
0,60,0,0,750,0,0,3,0,2,1,13500,0,14,0,31,3,0,0,0,3,0,0,0,0,48,2017,2,1,0,0,1,0,0,0,1,0,1,0,6,13500,1,2700,0,0,0,1
0,61,0,1,750,1,0,1,1,1,0,19500,1,19,0,46,3,0,0,0,5,0,1,1,0,148,2018,2,0,0,0,1,1,0,0,0,0,0,0,16,19500,1,3000,0,0,0,1
0,61,0,0,750,1,1,1,0,1,1,19500,1,19,0,51,3,0,0,0,5,0,1,1,0,132,2016,2,0,0,0,2,1,0,0,0,0,0,0,16,19500,1,3000,0,0,0,1
0,1736,0,1,750,0,0,1,1,1,0,64500,1,15,0,60,2,0,1,20500,1,0,2,0,0,137,2018,3,0,0,4,0,1,0,0,0,0,0,0,14,44000,1,2600,0,0,1,0
0,1740,0,0,750,0,0,2,1,1,0,30500,1,1,0,55,4,0,0,13500,4,0,1,1,0,117,2014,2,0,0,1,0,0,0,0,0,0,0,0,9,17000,1,2850,1,0,0,1
0,3361,0,0,750,1,0,5,0,1,1,40000,1,10,0,55,3,0,0,5500,4,0,2,1,0,110,2018,3,0,0,1,2,1,0,0,0,0,0,0,18,34500,1,2700,0,1,1,0
0,75,0,1,750,0,0,8,0,4,1,68000,0,27,0,30,3,1,0,45000,1,0,2,0,0,33,2015,2,0,0,1,2,0,0,0,0,1,0,0,12,23000,1,3000,0,0,1,0
0,1750,0,1,750,2,0,5,0,3,1,7500,0,6,0,34,3,1,0,0,0,0,0,0,0,7,2011,2,0,0,0,0,0,0,0,1,0,0,0,16,7500,1,3000,0,0,0,1
0,3366,0,0,750,1,0,10,0,1,1,36500,1,3,0,42,1,0,0,0,3,0,2,1,0,60,2016,3,0,0,0,0,1,0,0,0,0,0,0,23,36500,1,3000,1,0,1,0
0,82,0,1,750,2,0,4,0,2,1,15500,1,29,0,37,1,0,0,0,0,0,1,1,0,40,2018,2,0,0,0,0,0,0,0,0,0,0,0,12,15500,1,2700,0,0,0,1
0,84,0,0,750,0,0,1,1,3,0,8500,1,12,0,28,1,0,0,0,5,1,0,0,0,32,2014,1,0,0,0,0,0,1,1,0,0,0,0,13,8500,0,3000,1,0,0,0
0,1763,0,0,750,0,0,5,0,1,1,36500,1,21,0,19,1,0,0,14500,1,0,1,1,0,16,2015,2,0,0,1,1,0,0,0,0,0,0,0,15,22000,1,3000,1,0,0,1
0,1763,0,1,750,0,0,5,0,1,1,36500,1,21,0,63,3,0,0,14500,1,0,1,1,0,118,2019,2,0,0,1,0,0,0,0,0,0,0,0,15,22000,1,3000,0,0,0,1
0,98,0,1,750,0,0,12,0,1,1,6500,1,26,0,60,4,0,0,0,3,1,0,0,0,190,2017,1,0,0,0,0,0,1,1,0,0,0,0,14,6500,0,3000,0,0,0,0
0,105,0,1,750,0,0,4,0,1,1,12000,1,22,0,45,1,0,0,0,0,1,0,0,0,98,2012,1,0,0,0,2,0,1,1,0,0,0,0,18,12000,0,3000,0,0,0,0
0,105,0,0,750,0,0,4,0,1,1,12000,1,22,0,26,1,0,0,0,0,1,0,0,0,41,2014,1,0,0,0,2,0,1,1,0,0,0,0,18,12000,0,3000,0,1,0,0
0,3401,0,0,750,2,0,9,1,4,0,17000,1,9,1,40,3,0,0,0,0,0,1,0,0,15,2020,2,0,0,0,0,0,0,0,0,0,1,0,1,17000,1,3000,1,0,0,0
1,110,0,1,750,2,0,12,1,1,0,13000,0,25,0,38,3,0,0,0,2,0,0,0,0,93,2018,2,0,0,0,2,0,0,0,1,0,1,0,20,13000,1,2700,0,0,0,1
0,113,0,1,750,0,0,10,0,2,1,11500,1,27,0,23,3,0,0,0,6,1,0,0,0,50,2017,1,0,0,0,2,0,1,1,0,0,0,0,20,11500,0,3000,0,0,0,0
0,114,0,1,750,2,0,2,0,1,1,56500,1,20,0,70,4,0,0,25000,2,0,2,1,0,214,2018,2,0,0,1,1,0,0,0,0,0,0,0,5,31500,1,3000,0,0,0,1
0,114,0,0,750,2,0,2,0,1,1,56500,1,20,0,53,4,0,0,25000,2,0,2,1,0,176,2018,2,0,0,1,1,0,0,0,0,0,0,0,5,31500,1,3000,0,1,0,1
0,115,0,0,750,3,0,11,0,1,0,55000,1,17,1,48,3,0,0,25000,6,0,2,1,0,77,2015,3,0,0,1,3,1,0,0,0,0,0,0,7,30000,1,3000,0,1,0,0
0,116,0,1,750,5,0,3,0,1,1,40000,1,7,1,75,3,0,1,25000,3,0,1,0,0,157,2016,3,0,0,1,1,1,0,0,0,0,0,0,15,15000,1,3000,0,0,0,0
0,1780,0,1,750,0,0,2,1,1,0,56500,1,14,0,38,3,0,0,15000,3,0,2,1,0,131,2013,2,0,0,1,3,0,0,0,0,0,0,0,15,41500,1,3000,0,0,0,1
0,117,0,1,750,0,0,12,0,1,0,17000,0,4,1,60,3,0,0,0,2,0,0,1,0,166,2017,2,0,0,0,0,0,0,0,1,0,0,0,17,17000,1,3000,0,0,0,0
0,3412,0,0,750,0,1,12,1,1,0,7500,1,12,0,42,3,0,0,0,3,1,0,0,0,43,2020,1,0,0,0,3,1,1,1,0,0,0,0,18,7500,0,3000,0,0,0,0
0,118,0,0,750,5,0,10,1,5,0,64000,1,3,0,19,1,0,0,50000,3,0,1,1,0,3,2015,6,0,0,3,2,1,0,0,0,0,0,0,15,14000,1,2750,1,0,0,1
0,1784,0,1,750,0,0,12,0,1,1,11500,1,30,0,44,3,0,0,0,0,1,0,0,0,224,2014,1,0,0,0,2,0,1,1,0,0,0,0,11,11500,0,3000,0,0,0,0
0,133,0,1,750,1,0,12,0,1,1,21500,1,28,0,49,4,0,0,4500,5,0,1,1,0,138,2015,2,0,0,2,3,1,0,0,0,0,0,0,9,17000,1,3000,0,0,1,0
0,1799,0,0,750,1,0,8,1,1,0,37000,1,6,0,58,1,0,0,2000,1,0,2,1,0,221,2012,2,0,0,1,2,1,0,0,0,0,0,0,3,35000,1,3000,0,1,1,0
0,142,0,0,750,1,0,4,0,3,1,61000,1,24,1,28,3,0,0,25000,2,0,2,1,0,46,2016,3,0,0,1,1,1,0,0,0,0,0,0,19,36000,1,2900,0,1,0,0
0,143,1,1,750,0,0,9,0,1,1,23500,1,25,0,63,3,0,0,0,2,1,1,0,0,142,2017,1,0,0,0,3,0,1,0,0,0,0,0,15,23500,0,3000,0,0,0,0
0,151,0,1,750,0,0,7,0,3,1,20000,1,31,0,51,4,0,0,0,2,0,1,1,0,23,2020,2,0,0,0,2,1,0,0,0,0,0,0,6,20000,1,3000,0,0,1,0
0,1819,0,0,750,0,0,1,0,1,1,13500,1,16,0,57,3,0,0,0,2,1,0,0,0,125,2019,1,0,0,0,1,0,1,1,0,0,0,0,13,13500,0,3000,0,1,0,0
0,1845,1,1,750,0,0,5,0,1,1,29000,1,17,0,53,3,0,0,15000,4,1,1,0,0,185,2016,1,0,0,1,1,0,1,0,0,0,0,0,20,14000,0,2600,0,0,0,0
0,1845,1,1,750,0,0,5,0,1,1,29000,1,17,0,54,3,0,0,15000,4,1,1,0,0,108,2019,1,0,0,1,0,0,1,0,0,0,0,0,20,14000,0,3000,0,0,0,0
0,192,0,0,750,0,0,12,1,1,0,51500,1,13,0,29,3,0,0,30000,4,0,2,1,0,110,2020,2,0,0,1,3,0,0,0,0,0,0,0,16,21500,1,3000,0,1,0,1
0,194,0,1,750,1,0,9,0,1,1,8500,0,3,0,58,1,0,0,0,1,0,0,1,1,136,2015,2,0,0,0,0,0,0,0,1,0,0,0,6,8500,1,3000,0,0,1,0
0,1851,0,1,750,2,0,3,0,1,1,28500,1,19,0,53,3,0,1,12500,1,0,2,0,0,125,2010,3,0,0,4,0,1,0,0,0,0,0,0,13,16000,1,3000,0,0,0,1
0,3438,0,1,750,0,0,7,1,1,0,28000,0,10,0,44,3,0,0,0,2,0,2,1,0,105,2017,1,0,0,0,1,0,0,0,0,1,0,0,4,28000,1,3000,0,0,0,1
0,3442,0,1,750,0,0,11,0,1,1,13500,0,17,0,50,4,0,0,0,6,0,0,0,0,49,2008,1,0,0,0,0,0,0,0,1,0,1,0,10,13500,1,3000,0,0,0,1
0,1855,0,0,750,0,0,5,0,4,1,8500,0,30,0,47,0,0,0,0,3,0,0,1,0,31,2019,2,0,0,0,2,0,0,0,1,0,0,0,7,8500,1,2800,1,0,0,1
0,1865,1,1,750,0,0,11,1,1,0,7000,1,13,0,35,4,0,0,0,2,1,1,0,0,117,2004,1,0,0,0,0,0,1,0,0,0,0,0,16,7000,0,3000,0,0,0,0
0,3455,0,1,750,0,0,10,0,3,1,12000,0,3,1,55,1,0,0,0,3,0,0,1,0,31,2014,1,0,0,0,0,0,0,0,1,0,0,0,10,12000,1,3000,0,0,0,0
0,3459,0,1,750,0,0,10,0,2,0,17000,1,24,0,22,2,0,0,0,3,0,1,1,0,5,2015,2,0,0,0,1,0,0,0,0,0,0,0,3,17000,1,2800,0,0,1,0
0,3464,0,0,750,4,0,8,0,4,1,90500,0,5,0,30,0,0,0,50000,0,0,2,0,0,27,2019,2,0,0,3,1,0,0,0,0,1,1,0,6,40500,1,3000,0,1,1,0
0,3471,0,1,750,1,0,5,0,3,1,51500,0,1,0,22,3,0,1,14500,2,0,2,0,0,19,2015,2,0,0,2,0,0,0,0,0,1,0,0,10,37000,1,3000,0,0,1,0
0,3476,0,1,750,0,0,1,0,3,1,38000,0,14,0,22,3,0,0,15000,0,0,2,1,0,38,2015,2,0,1,1,2,0,0,0,0,0,0,0,13,23000,1,3000,0,0,1,0
0,3477,0,1,750,1,0,2,0,1,0,13000,1,25,0,42,3,0,0,0,0,0,1,1,1,126,2016,3,0,0,0,0,1,0,0,0,0,0,0,8,13000,1,3000,0,0,0,1
